customer_id,age,price,birth_date,email,phone,start_date,end_date,valid_age,valid_price,valid_date,valid_customer_id,valid_email,valid_email_format,valid_phone,valid_date_order,passes_all_checks
CUST-VAL-00001,32,1070.72,1988-05-14,shipper_1@freight.com,9697354961,2026-08-28,2026-09-01,True,True,True,True,True,True,True,True,True
CUST-VAL-00002,19,823.18,1988-05-14,shipper_2@freight.com,2181241943,2026-08-03,2026-08-12,True,True,True,True,True,True,True,True,True
CUST-VAL-00003,49,507.92,1988-05-14,shipper_3@freight.com,1958682846,2026-08-28,2026-08-30,True,True,True,True,True,True,True,True,True
CUST-VAL-00004,50,197.14,1988-05-14,shipper_4@freight.com,4163119785,2026-08-15,2026-08-17,True,True,True,True,True,True,True,True,True
CUST-VAL-00005,64,451.52,1988-05-14,shipper_5@freight.com,9963334018,2026-08-07,2026-08-08,True,True,True,True,True,True,True,True,True
CUST-VAL-00006,23,783.21,1988-05-14,shipper_6@freight.com,2812140441,2026-08-20,2026-08-23,True,True,True,True,True,True,True,True,True
CUST-VAL-00007,62,1349.92,1988-05-14,shipper_7@freight.com,1127978094,2026-08-09,2026-08-10,True,True,True,True,True,True,True,True,True
CUST-VAL-00008,45,1692.55,1988-05-14,shipper_8@freight.com,1939042955,2026-08-15,2026-08-23,True,True,True,True,True,True,True,True,True
CUST-VAL-00009,36,725.28,1988-05-14,shipper_9@freight.com,9703905715,2026-08-07,2026-08-09,True,True,True,True,True,True,True,True,True
CUST-VAL-00010,19,733.38,1988-05-14,shipper_10@freight.com,7635473142,2026-08-25,2026-09-03,True,True,True,True,True,True,True,True,True
CUST-VAL-00011,23,889.55,1988-05-14,shipper_11@freight.com,6241752544,2026-08-28,2026-08-29,True,True,True,True,True,True,True,True,True
CUST-VAL-00012,48,532.12,1988-05-14,shipper_12@freight.com,7825844140,2026-08-22,2026-08-30,True,True,True,True,True,True,True,True,True
CUST-VAL-00013,43,616.83,1988-05-14,shipper_13@freight.com,4460967357,2026-08-25,2026-08-28,True,True,True,True,True,True,True,True,True
CUST-VAL-00014,24,1790.16,1988-05-14,shipper_14@freight.com,8293453178,2026-08-20,2026-08-24,True,True,True,True,True,True,True,True,True
CUST-VAL-00015,74,1585.03,1988-05-14,shipper_15@freight.com,6756332150,2026-08-27,2026-09-03,True,True,True,True,True,True,True,True,True
CUST-VAL-00016,70,312.54,1988-05-14,shipper_16@freight.com,1667779376,2026-08-08,2026-08-17,True,True,True,True,True,True,True,True,True
CUST-VAL-00017,20,1101.39,1988-05-14,shipper_17@freight.com,2445662585,2026-08-07,2026-08-14,True,True,True,True,True,True,True,True,True
CUST-VAL-00018,25,1864.82,1988-05-14,shipper_18@freight.com,5693307665,2026-08-21,2026-08-25,True,True,True,True,True,True,True,True,True
CUST-VAL-00019,29,1056.2,1988-05-14,shipper_19@freight.com,5710360983,2026-08-28,2026-08-30,True,True,True,True,True,True,True,True,True
CUST-VAL-00020,66,1602.89,1988-05-14,shipper_20@freight.com,8934927891,2026-08-25,2026-08-31,True,True,True,True,True,True,True,True,True
CUST-VAL-00021,64,1622.31,1988-05-14,shipper_21@freight.com,7887950851,2026-08-18,2026-08-23,True,True,True,True,True,True,True,True,True
